run_timestamp,table_name,total_rules,passed_rules,failed_rules,quality_score
2026-06-15 09:00:00,customers,10,9,1,90.0
2026-06-16 09:00:00,customers,10,8,2,88.0
2026-06-17 09:00:00,customers,10,3,7,30.0
2026-06-17 15:53:13,customers,10,3,7,30.0
2026-06-17 15:53:13,products,3,1,2,33.33
2026-06-17 15:53:23,customers,10,3,7,30.0
2026-06-17 15:53:23,products,3,1,2,33.33
2026-06-17 15:57:23,customers,10,3,7,30.0
2026-06-17 15:57:23,products,3,1,2,33.33
2026-06-17 15:59:31,customers,10,3,7,30.0
2026-06-17 15:59:31,products,3,1,2,33.33
